Date,Total Complaints
05/02/2020,1963
04/25/2020,1720
05/03/2020,1708
04/19/2020,1305
04/28/2020,1018
04/06/2020,963
04/20/2020,956
05/05/2020,909
04/07/2020,873
04/14/2020,859
04/11/2020,829
04/22/2020,828
05/07/2020,820
04/12/2020,803
04/01/2020,792
05/01/2020,778
03/30/2020,776
04/23/2020,750
04/08/2020,750
04/21/2020,744
04/04/2020,694
03/31/2020,682
05/04/2020,648
04/17/2020,628
04/09/2020,618
04/15/2020,609
04/02/2020,607
04/05/2020,599
04/16/2020,580
04/24/2020,565
04/18/2020,537
04/10/2020,520
04/29/2020,488
04/13/2020,476
05/09/2020,448
04/03/2020,436
04/26/2020,419
04/27/2020,410
05/08/2020,407
05/06/2020,368
04/30/2020,338
03/29/2020,262
05/10/2020,21
03/28/2020,2
